Размер,Раздел,Категория,Бренд,Материал одежды,Цвет,Состояние товара,Продавец,Скидка,Цена,Описание,Материал футболок
IT_38/40/42/44/46,Женское,Юбки миди,'S MAX MARA,Хлопок,Бежевый,Новое с биркой,Бутик,20.0,32737.0,,missing_label
INT_XS,Женское,Другие платья,DIANE VON FURSTENBERG,Хлопок,Другое,Новое с биркой,Частный продавец,20.0,25000.0,"новое вязаное платье, идеально для отпуска или в городе с рубашкой сверху.",missing_label
FR_34,Женское,Юбки мини,ISABEL MARANT ETOILE,Кожа,Черный,Отличное состояние,Частный продавец,0.0,50000.0,"юбка из натуральной кожи. очень мягкая податливая кожа, не к дубовая, садится по фигуре идеально. очень выигрышно подчеркивает фигуру🔥не выходила. вид помятый на фото, так как долго висела в шкафу.",missing_label
INT_L,Женское,Футболки,JUST CAVALLI,Другое,Белый,Новое с биркой,Бутик,11.0,12638.0,just cavalli t-shirt e polo bianco,missing_label
INT_S,Женское,Футболки,MARINE SERRE,Другое,Мульти,Новое с биркой,Бутик,2.0,33583.0,marine serre t-shirt e polo,missing_label
INT_S/M/L,Женское,Футболки,MARINE SERRE,Другое,Другое,Новое с биркой,Бутик,2.0,33583.0,marine serre t-shirt e polo bianca,missing_label
INT_2XS,Женское,Юбки миди,DRIES VAN NOTEN,Другое,Мульти,Новое с биркой,Бутик,24.0,63104.0,,missing_label
IT_40/42/44,Женское,Рубашки,FABIANA FILIPPI,Другое,Бежевый,Новое с биркой,Бутик,42.0,86167.0,fabiana filippi maglie,missing_label
IT_38/40/42/44,Женское,Блузы,PINKO,Полиэстер,Белый,Новое с биркой,Бутик,36.0,29341.0,pinko camicie,missing_label
INT_S,Женское,Повседневные платья,SPORTMAX,Полиамид,Розовый,Новое с биркой,Бутик,47.0,142795.0,"- fitted cut- 82% polyamide, 18% elastane- made in tunisia- the model is 180 cm tall and wears size s",missing_label
INT_L,Женское,Майки,SPORTMAX,Хлопок,Розовый,Новое с биркой,Бутик,34.0,24311.0,- slim fit- fabric 100% cotton- made in tunisia- the model is 180 cm tall and wears size s,missing_label
INT_L,Женское,Рубашки,ZIMMERMANN,Шелк,Другое,Новое с биркой,Бутик,37.0,79604.0,coco printed silk shirt !,missing_label
INT_M,Женское,Бюстгалтеры,WOLFORD,missing_label,Черный,Новое с биркой,Частный продавец,23.0,10000.0,wilford let it sparkle топ бандо шикарно будет с джинсами топ,missing_label
EU_42,Женское,Куртки,BRUNELLO CUCINELLI,Кожа,Бежевый,Отличное состояние,Частный продавец,38.0,210000.0,"летняя куртка из кожи brunello cucinelle снаружи мягкая бежевая кожа, внутри кожа шампань размер 42 тонкая изящная и мягкая кожа, пара выходов в комплекте кофр и вешалка",missing_label
INT_M,Женское,Блузы,BRUNELLO CUCINELLI,Шелк,Бежевый,Отличное состояние,Частный продавец,24.0,99000.0,"летящая, многослойная блуза полностью из шелка италия, состояние новой",missing_label
FR_34/36/38,Женское,Юбки миди,GANNI,Другое,Мульти,Новое с биркой,Бутик,26.0,37915.0,"leopard print denim miniskirt by ganni, with button and zip fly closure, side pockets and belt loops at the waist.",missing_label
INT_XS/S,Женское,Прямые брюки,P.A.R.O.S.H.,Полиэстер,Фиолетовый,Новое с биркой,Бутик,37.0,27471.0,- 100% polyester- made in italy,missing_label
IT_40,Женское,Худи и толстовки,PHILIPP PLEIN,Хлопок,Черный,Отличное состояние,Частный продавец,70.0,59000.0,"худи philipp plein p.s тёплое, очень эффектное, на миниатюрную девушку размера xxs- xs дополнительно информация: длина 55 см, пог - 50 см., плечи 38-40 см длина рукава 60 см. низ 43 см. покупала в швейцарии, лимитированный выпуск. бирки с составом срезаны. ( 97 % хлопок 3% спандекс ) состояние отличное, бережная эксплуатация на спине все элементы декорации, стразы и вышивка без повреждения! есть небольшой нюанс в виде микрокатышей на резинке, который легко устранить с помощью замены трикотажной резинки.",missing_label
INT_XS/S/M/L,Женское,Худи и толстовки,POLO RALPH LAUREN,Хлопок,Синий,Новое с биркой,Бутик,7.0,19355.0,polo ralph lauren maglie,missing_label
IT_42,Женское,Куртки,PRADA,Полиэстер,Черный,Хорошее состояние,Частный продавец,75.0,87000.0,"куртка prada, размер 42 it ( 44-46 ru). boдоотталкивающая и непродуваемая техноткань ( полиэстер/нейлон ), наполнитель синтепон. покупала в милане в бутике prada. из года в год, на протяжении многих лет, это базовая модель в осенне- зимних коллекциях. отлично подойдёт на холодную, дождливую и ветренную погоду. причина продажи стала мала😭. дополнительные замеры; длина по спинке 65 см. пог 48 см., пот 44 см, низ 55 см., плечи 43 см., длина рукава 62 см., самая широкая часть 19 см. куртка имеет 3 наружных кармана на молнии и 1 внутренний на липучке, капюшон не съёмный. имеются незначительные нюансы , не бросающиеся в глаза и абсолютно не влияющие на дальнейшую эксплуатацию. после хим.чистки появились микроцарапины на фурнитуре. на левом рукаве в области локтевого изгиба на расстоянии 3 см. от шва есть малюсенькая микродырочка- размером с игольное ушко (обнаружила после хим.чистки).резинки для крепления пояса подрастянулись, за ненадобностью можно вообще их срезать, или заменить в ателье ( незаметно глазу) . состояние хорошее, после хим.чистки!",missing_label
INT_S/M/L,Женское,Кардиганы,POLO RALPH LAUREN,Шерсть,Синий,Новое с биркой,Бутик,19.0,76800.0,polo ralph lauren giacche,missing_label
INT_S,Женское,Жакеты и пиджаки,WEEKEND MAX MARA,Другое,Темно-синий,Новое с биркой,Частный продавец,13.0,30000.0,"sale новый ! пиджак мужского кроя оверсайз maxmara коллаба by kate phelan коллекция под названием 24. отражает идею универсального гардероба , который актуален 24 часа в сутки . маркировка s , но за счёт кроя на 42-44-46 размер синий цвет",missing_label
IT_40,Женское,Прямые брюки,SPORT MAX CODE,Другое,Голубой,Новое с биркой,Частный продавец,60.0,30000.0,"брюки sportmax code новые, с этикеткой размер 40it хлопок",missing_label
INT_XS/S/M/L,Женское,Худи и толстовки,FEAR OF GOD ESSENTIALS,Хлопок,Серый,Новое с биркой,Бутик,6.0,21564.0,fear of god essentials maglie,missing_label
INT_2XS,Женское,Шорты,POLO RALPH LAUREN,Хлопок,Синий,Новое с биркой,Бутик,2.0,16770.0,,missing_label
INT_XXS/XS/S/M,Женское,Джемперы и свитеры,POLO RALPH LAUREN,Хлопок,Синий,Новое с биркой,Бутик,13.0,23773.0,polo ralph lauren maglie blue,missing_label
IT_40/42/44,Женское,Юбки миди,MAX MARA,Другое,Бежевый,Новое с биркой,Бутик,21.0,47218.0,fitted midi skirt finished with a tailored waistband. concealed zip closure at the back. center back slit.,missing_label
INT_XS/S/M/L/XL,Женское,Худи и толстовки,POLO RALPH LAUREN,Хлопок,Серый,Новое с биркой,Бутик,12.0,20503.0,polo ralph lauren maglie grey,missing_label
IT_40/42,Женское,Юбки миди,MONCLER,Хлопок,Бежевый,Новое с биркой,Бутик,17.0,53801.0,,missing_label
IT_38/40/44,Женское,Прямые брюки,TWIN-SET,Другое,Белый,Новое с биркой,Бутик,36.0,29871.0,twin-set pantaloni bianco,missing_label
IT_42/44,Женское,Жилеты,TWIN-SET,Другое,Бежевый,Новое с биркой,Бутик,36.0,32081.0,twin-set maglie,missing_label
IT_40/42,Женское,Юбки миди,DURAZZI,Другое,Черный,Новое с биркой,Бутик,27.0,86713.0,,missing_label
INT_S/M/L,Женское,Прямые брюки,Ami Paris,Вискоза,Белый,Новое с биркой,Бутик,26.0,50817.0,ami pantaloni blanc creme,missing_label
INT_S/M,Женское,Прямые брюки,DRIES VAN NOTEN,Хлопок,Другое,Новое с биркой,Бутик,29.0,87847.0,dries van noten pantaloni,missing_label
IT_42,Женское,Юбки миди,DURAZZI,Вискоза,Черный,Новое с биркой,Бутик,31.0,152537.0,dark grey pleated skirt in shiny viscose with waist strap details with logoed buckles.,missing_label
FR_36/38/40,Женское,Шорты,SOEUR,Хлопок,Белый,Новое с биркой,Бутик,18.0,18294.0,soeur белые шорты,missing_label
INT_3XS,Женское,Другие платья,AMAZUIN,Полиамид,Мульти,Новое с биркой,Бутик,9.0,36774.0,,missing_label
INT_XS/S/M,Женское,Шорты,RAG & BONE,Хлопок,Серый,Новое с биркой,Бутик,18.0,19355.0,rag & bone pantaloncini,missing_label
EU_42,Женское,Юбки миди,BLUMARINE,Другое,Мульти,Отличное состояние,Частный продавец,0.0,29000.0,"а-образная , миди, покупалась в бутике риме. вышла 2 раза",missing_label
UK_10,Женское,Блузы,SELF-PORTRAIT,Другое,Черный,Отличное состояние,Частный продавец,10.0,35000.0,популярная модель. с объемными плечами. стретч..,missing_label
EU_40,Женское,Корсеты,VERSACE,Другое,Черный,Отличное состояние,Частный продавец,0.0,29000.0,gianni versace. на внутр стороне ( подкладе) есть 2 неб нюанса от пряжки бюстгальтера. учтены в цене и указаны на последнем фото.,missing_label
EU_42,Женское,Коктейльные платья,OFF-WHITE,Другое,Хаки,Отличное состояние,Частный продавец,74.0,135000.0,"неск выходов, боковая бирка с размером срезана, но сохранилось фото( есть в ленте). соответствует размеру м ке.",missing_label
INT_XS,Женское,Кардиганы,POLO RALPH LAUREN,Хлопок,Красный,Новое с биркой,Бутик,14.0,38179.0,polo ralph lauren maglie rosso,missing_label
INT_3XS,Женское,Куртки,MARBELL,Другое,Мульти,Новое с биркой,Бутик,30.0,71793.0,"dua reversible bomber jacket is made from a lightweight nylon and linen blend, elasticated cuffs and waist, double-slider zip fastening, side welt pockets, linen interior and nylon exterior.",missing_label
IT_40/42,Женское,Прямые брюки,MEIMEIJ,Вискоза,Бежевый,Новое с биркой,Бутик,14.0,24223.0,meimeij pantaloni donna sabbia,missing_label
INT_XS/S/M/L,Женское,Худи и толстовки,FEAR OF GOD ESSENTIALS,Хлопок,Серый,Новое с биркой,Бутик,7.0,19885.0,fear of god essentials maglie,missing_label
INT_S,Женское,Майки,DIESEL,Хлопок,Черный,Новое с биркой,Бутик,27.0,11010.0,"""t-anki od"" top",missing_label
INT_XS/S,Женское,Футболки,DIESEL,Хлопок,Черный,Новое с биркой,Бутик,0.0,11010.0,black t-angie-od cotton t-shirt,missing_label
INT_M/L,Женское,Майки,DIESEL,Хлопок,Белый,Новое с биркой,Бутик,0.0,12080.0,"""t-anky tail s1"" top",missing_label
IT_38/40/42,Женское,Юбки миди,RAQUEL DINIZ,Другое,Белый,Новое с биркой,Бутик,23.0,52133.0,“sabi” midi skirt in macramé with a wave pattern by raquel diniz.,missing_label
INT_M,Женское,Коктейльные платья,LOUISA BALLOU,Вискоза,Черный,Новое с биркой,Бутик,41.0,81271.0,"long dress in black viscose jersey from louisa ballou with cut out details, strapless neckline, side slit and self-tie closure.",missing_label
IT_42,Женское,Прямые брюки,SPORTMAX,Шерсть,Серый,Новое с биркой,Бутик,38.0,49412.0,"oversized trousers with flat pleats from sportmax, made of soft and fluid stretch wool flannel. slanted side pockets and welt pockets on the back, thin leather belt.",missing_label
INT_S,Женское,Шорты,FEAR OF GOD ESSENTIALS,Другое,Бежевый,Новое с биркой,Частный продавец,19.0,12900.0,"текущая коллекция, оверсайз, унисекс. новые в фирменной упаковке, все бирки на месте.",missing_label
INT_M,Женское,Пальто,MAX MARA,Шерсть,Бежевый,Новое с биркой,Бутик,54.0,131737.0,"camel ""miele"" midi coat in soft double wool and cashmere jersey by max mara featuring a loose silhouette with hood, long sleeves with slightly low set-in length and patch pockets on the front. finished with deep side slits and adjustable drawstring waist. concealed front fastening.",missing_label
INT_S,Женское,Куртки,ADDICTED,Другое,Коричневый,Новое с биркой,Частный продавец,25.0,49500.0,новая ! куртка addicted маркировка s подойдет на 42-44 русс,missing_label
INT_S,Женское,Коктейльные платья,RICK OWENS,Вискоза,Розовый,Новое с биркой,Бутик,33.0,103739.0,"""athena"" fitted dress in powder pink viscose jersey by rick owens. with high side slit and asymmetrical neckline.",missing_label
INT_S,Женское,Футболки,FEAR OF GOD ESSENTIALS,Другое,Бежевый,Новое с биркой,Частный продавец,19.0,12150.0,оверсайз! унисекс,missing_label
IT_40/42/46,Женское,Жакеты и пиджаки,TAGLIATORE,Кожа,Оранжевый,Новое с биркой,Бутик,33.0,109181.0,"""sophie"" single-breasted leather blazer from tagliatore, with 2-button golden closure, classic lapel collar, satin lining, back vent.",missing_label
INT_XS,Женское,Футболки,FEAR OF GOD ESSENTIALS,Хлопок,Бежевый,Новое с биркой,Частный продавец,17.0,12500.0,полный комплект со всеми бирками. текущая коллекция. оверсайз,missing_label
INT_XS,Женское,Футболки,FILIPPA K,Вискоза,Белый,Новое с биркой,Бутик,39.0,20888.0,lightweight t-shirt by filippa k in viscose with openwork stitch pattern and comfortable fit,missing_label
FR_38,Женское,Жакеты и пиджаки,CHRISTIAN DIOR,Деним,Темно-синий,Отличное состояние,Частный продавец,60.0,250000.0,"знаковый жакет dior bar из денима, цвет не передает кадр (темно синий) везде был sold out, в идеальном состоянии! размер французский 38, узкий. отлично сидит, на все времена.",missing_label
IT_44,Женское,Блузы,TALLER MARMO,Ацетат,Черный,Новое с биркой,Бутик,40.0,71354.0,"блуза ""mila"" от taller marmo из мягкого кади-крепа с вырезом, состоящим из 60 вручную пришитых пуговиц, которые позволяют выбрать способ ношения: открытые плечи, лодочка или один плечо.",missing_label
FR_38,Женское,Вечерние платья,CHANEL,Другое,Черный,Отличное состояние,Частный продавец,88.0,840000.0,"chanel black 2018 hamburg sequin cocktail dress оригинальное вечернее платье chanel из коллекции hamburg с короткими рукавами, украшенное пайетками. имеет мягкие плечи и эмблему cc на рукаве. застегивается на потайную молнию и крючок сзади. на подкладке из черного шелка в камелиях.",missing_label
FR_40,Женское,Блузы,Ami Paris,Шелк,Черный,Новое с биркой,Бутик,9.0,42830.0,"black crossover top from ami in draped silk georgette, long draped bands on the back, adjustable hook and eye closure.",missing_label
FR_36/38,Женское,Пальто,Ami Paris,Шерсть,Коричневый,Новое с биркой,Бутик,44.0,131737.0,"brown melange wool and cotton caban from ami, with pointed collar, dropped shoulders, low pockets, martingale on the back, relaxed fit.",missing_label
INT_XS,Женское,Футболки,GOLDEN GOOSE DELUXE BRAND,Вискоза,Белый,Новое с биркой,Бутик,30.0,24223.0,футболка с круглым вырезом из джерси с флоковым принтом,missing_label
INT_M,Женское,Юбки миди,NORMA KAMALI,Другое,Черный,Новое с биркой,Бутик,26.0,30894.0,"straight skirt in stretch fabric by norma kamali, high-waisted, with cut-out back",missing_label
INT_S,Женское,Майки,COURREGES,Полиамид,Белый,Новое с биркой,Бутик,38.0,38441.0,топ из тюля с принтом логотипа,missing_label
FR_36,Женское,Джемперы и свитеры,CHANEL,Шерсть,Мульти,Отличное состояние,Частный продавец,58.0,50000.0,"джемпер chanel из смеси кашемира, шерсти и шелка с набивными цветами на шелковом подкладе. идеальное состояние.",missing_label
INT_L,Женское,Пуховики,THE NORTH FACE,Полиамид,Черный,Новое с биркой,Бутик,26.0,38441.0,relaxed fit with a boxy fit original shiny ripstop fabric for added durability taffeta overlays at the collar and yoke for added durability pfc-free dwr finish for added water protection 700 fill goose down insulation provides warmth while remaining extremely compressible oversized paneling attached three-panel hood stows in stand-up collar exposed vislon® center-front zipper secure-zip hand pockets jacket packs into its own right pocket partially lined elastic cuffs with hook-and-loop adjustable tabs and triclimate® loops to match your gtx® mountain-compatible jacket bungee cord hem with toggle for a custom fit embroidered logo at left chest and back of right shoulder,missing_label
IT_42,Женское,Прямые брюки,DURAZZI,Шерсть,Серый,Новое с биркой,Бутик,32.0,93295.0,tailored pinstriped wool trousers with pleats and welt pockets,missing_label
UK_8/10,Женское,Пальто,STUDIO NICHOLSON,Шерсть,Темно-синий,Новое с биркой,Бутик,55.0,121518.0,morro coat,missing_label
FR_38,Женское,Жакеты и пиджаки,LANVIN,Шерсть,Черный,Новое с биркой,Бутик,59.0,246885.0,black wool blazer,missing_label
FR_36,Женское,Куртки,CHLOE,Хлопок,Синий,Новое с биркой,Бутик,38.0,185449.0,denim jacket with gold details and pockets,missing_label
IT_38/40/44/46,Женское,Рубашки,MAX MARA,Шелк,Бежевый,Новое с биркой,Бутик,27.0,47218.0,cream stretch silk avion shirt,missing_label
UK_8,Женское,Пальто,THE GARMENT,Шерсть,Черный,Новое с биркой,Бутик,50.0,76800.0,clooney coat,missing_label
IT_42/44,Женское,Жакеты и пиджаки,DOLCE&GABBANA,Другое,Черный,Новое с биркой,Бутик,42.0,356593.0,double-breasted jacket in faille,missing_label
IT_38,Женское,Прямые брюки,DOLCE&GABBANA,Шерсть,Черный,Новое с биркой,Бутик,36.0,126207.0,black wool-blend trousers,missing_label
FR_38,Женское,Прямые брюки,ISABEL MARANT,Другое,Коричневый,Новое с биркой,Бутик,8.0,38441.0,kelsie trousers with a leather-look finish,missing_label
IT_42,Женское,Повседневные платья,VALENTINO,Хлопок,Белый,Новое с биркой,Бутик,27.0,318151.0,white midi dress with sangallo embroidery,missing_label
FR_34/36/38,Женское,Повседневные платья,ISABEL MARANT ETOILE,Хлопок,Белый,Новое с биркой,Бутик,17.0,50286.0,sherazade mini dress,missing_label
INT_S/M/L,Женское,Футболки,GIVENCHY,Хлопок,Белый,Новое с биркой,Бутик,13.0,60383.0,cotton t-shirt with givenchy tape print,missing_label
INT_S/L,Женское,Шорты,THE FRANKIE SHOP,Шерсть,Белый,Новое с биркой,Бутик,11.0,21034.0,шорты bresica knit,missing_label
IT_40/42,Женское,Джемперы и свитеры,FENDI,Шерсть,Мульти,Новое с биркой,Бутик,42.0,208444.0,gradient mohair and wool fitted jumper,missing_label
INT_S/M/L,Женское,Футболки,GIVENCHY,Хлопок,Черный,Новое с биркой,Бутик,9.0,51782.0,black tshirt with stamp print,missing_label
INT_M,Женское,Футболки,FENDI,Хлопок,Белый,Новое с биркой,Бутик,16.0,57048.0,white cropped tshirt with logo,missing_label
INT_XS/S/M/L,Женское,Футболки,SAINT LAURENT,Хлопок,Белый,Новое с биркой,Бутик,17.0,53801.0,saint laurent reverse tshirt,missing_label
IT_42/44,Женское,Юбки мини,PRADA,Полиамид,Черный,Новое с биркой,Бутик,18.0,98210.0,black re-nylon mini skirt,missing_label
IT_38/40,Женское,Рубашки,MAX MARA,Шелк,Коричневый,Новое с биркой,Бутик,0.0,66970.0,mxmdisco - semi-fitted printed silk shirt,missing_label
IT_38/40,Женское,Прямые брюки,MAX MARA,Полиэстер,Бежевый,Новое с биркой,Бутик,20.0,74601.0,grembo plisse pants !,missing_label
INT_XS/S/M,Женское,Футболки,MONCLER,Хлопок,Бежевый,Новое с биркой,Бутик,0.0,34930.0,cotton t-shirt with logo,missing_label
IT_40/42/44,Женское,Коктейльные платья,VERSACE,Вискоза,Зеленый,Новое с биркой,Бутик,18.0,185449.0,cocktail dress,missing_label
INT_L,Женское,Повседневные платья,ZIMMERMANN,Лен,Бежевый,Новое с биркой,Бутик,36.0,192032.0,alchemy linen and silk mini dress,missing_label
INT_XS/M,Женское,Шорты,BRUNELLO CUCINELLI,Лен,Хаки,Новое с биркой,Бутик,21.0,86713.0,tailored linen bermuda shorts with double pleats,missing_label
IT_42,Женское,Рубашки,GUCCI,Шелк,Черный,Новое с биркой,Бутик,20.0,186503.0,silk satin shirt with bow,missing_label
JEANS_32/33,Женское,Прямые джинсы,BALENCIAGA,missing_label,Голубой,Новое с биркой,Бутик,25.0,131649.0,straight leg jeans,missing_label
INT_XS/S/M,Женское,Рубашки,BRUNELLO CUCINELLI,Другое,Мульти,Новое с биркой,Бутик,20.0,131649.0,cotton eco brass shirt,missing_label
IT_38/40/36,Женское,Юбки миди,PRADA,Деним,Бежевый,Новое с биркой,Бутик,40.0,148149.0,beige mesh skirt,missing_label
INT_XS/S/M,Женское,Кардиганы,BRUNELLO CUCINELLI,Лен,Бежевый,Новое с биркой,Бутик,23.0,290768.0,dazzling water lilies cardigan in linen and cotton with belt,missing_label
IT_38/40/42/44,Женское,Повседневные платья,MAX MARA,Полиэстер,Белый,Новое с биркой,Бутик,22.0,164561.0,fuggito long printed dress,missing_label
IT_42/48,Женское,Футболки,HERNO,Другое,Черный,Новое с биркой,Бутик,16.0,16615.0,herno t-shirt e polo,missing_label
IT_42/44/46,Женское,Юбки миди,HERNO,Хлопок,Коричневый,Новое с биркой,Бутик,32.0,41449.0,herno gonne,missing_label
INT_M,Женское,Повседневные платья,DIANE VON FURSTENBERG,Полиэстер,Розовый,Отличное состояние,Частный продавец,54.0,28000.0,"платье в отличном состоянии, как новое, дефектов не обнаружено, надевала пару раз.",missing_label
IT_40/42,Женское,Другие платья,THE ANDAMANE,Полиэстер,Черный,Новое с биркой,Бутик,18.0,35969.0,carmen mini dress,missing_label
JEANS_25,Женское,Прямые джинсы,VICTORIA BECKHAM,missing_label,Белый,Новое с биркой,Бутик,33.0,54175.0,victoria beckham jeans bianco,missing_label
IT_40/42,Женское,Вечерние платья,RICK OWENS,Хлопок,Черный,Новое с биркой,Бутик,24.0,55854.0,temple gown,missing_label
INT_S,Женское,Пуховики,MONCLER,Полиэстер,Серый,Отличное состояние,Частный продавец,47.0,90000.0,"в отличном состоянии, небольшие следы носки.",missing_label
IT_40/42,Женское,Брюки широкие,RICK OWENS,Вискоза,Черный,Новое с биркой,Бутик,30.0,110471.0,tailored firbanks,missing_label
INT_XS/S/M,Женское,Повседневные платья,MONCLER,Хлопок,Белый,Новое с биркой,Бутик,24.0,98363.0,платье,missing_label
UK_8/10,Женское,Рубашки,THE GARMENT,Хлопок,Белый,Новое с биркой,Бутик,21.0,29871.0,рубашка kirsten,missing_label
INT_2XS,Женское,Прямые брюки,ALBERTA FERRETTI,Вискоза,Белый,Новое с биркой,Бутик,23.0,87847.0,,missing_label
UK_8/10/12,Женское,Юбки миди,SELF-PORTRAIT,Лен,Мульти,Новое с биркой,Бутик,32.0,37030.0,self portrait gonne,missing_label
INT_S,Женское,Футболки,CASABLANCA,Хлопок,Белый,Новое с биркой,Бутик,29.0,25453.0,casablanca camicie tennis landscape,missing_label
INT_XS/S/M,Женское,Повседневные платья,SESSUN,Вискоза,Бежевый,Новое с биркой,Бутик,19.0,24922.0,galiane midi dress,missing_label
INT_M,Женское,Купальники,COPERNI,Полиамид,Красный,Новое с биркой,Бутик,1.0,12610.0,топ купальника с цветочным принтом,missing_label
IT_40,Женское,Повседневные платья,MIU MIU,Хлопок,Синий,Новое с биркой,Бутик,23.0,243036.0,мини-платье вид 6,missing_label
IT_40,Женское,Юбки миди,VERSACE,Шелк,Мульти,Новое с биркой,Бутик,34.0,218733.0,юбка с вышивкой,missing_label
INT_3XS,Женское,Майки,ALBERTA FERRETTI,Вискоза,Зеленый,Новое с биркой,Бутик,22.0,74060.0,top gilet,missing_label
IT_40,Женское,Тренчи и плащи,PRADA,Другое,Темно-синий,Отличное состояние,Частный продавец,24.0,124680.0,"пару выходов, видимых ньюансов не обнаружила, размер подойдет от s до l",missing_label
INT_XS/S/M/L,Женское,Куртки,POLO RALPH LAUREN,Полиэстер,Синий,Новое с биркой,Бутик,15.0,43658.0,polo ralph lauren giacche,missing_label
INT_XS/S/M/L,Женское,Другие платья,POLO RALPH LAUREN,Другое,Красный,Новое с биркой,Бутик,13.0,24922.0,polo ralph lauren abiti red,missing_label
INT_S/M/L,Женское,Купальники,MC2 SAINT BARTH,Полиамид,Мульти,Новое с биркой,Бутик,3.0,15466.0,mc2 saint barth mare,missing_label
US_8,Женское,Коктейльные платья,VALENTINO,Шелк,Красный,Отличное состояние,Частный продавец,13.0,105000.0,"платье valentino, коллекция rosso valentino, vintage (us 8). состав 100% шелк. длина - 96, обьем груди - 46. идеальное состояние (должно отвисеться, хранилось в гардеробной и немного примялось гофре).",missing_label
INT_XS/S/M/L,Женское,Футболки,FEAR OF GOD ESSENTIALS,Хлопок,Другое,Новое с биркой,Бутик,5.0,12660.0,fear of god essentials t-shirt e polo,missing_label
RU_42,Женское,Шорты,IRO,Хлопок,Серый,Новое с биркой,Частный продавец,29.0,10000.0,новые теплые шорты . маркировка s,missing_label
FR_40,Женское,Рубашки,BALMAIN,Полиэстер,Черный,Отличное состояние,Частный продавец,0.0,27000.0,поло из фактурного велюра. тактильно очень приятно. можно сочетать с классическим и спортивным стилем.,missing_label
RU_44,Женское,Джемперы и свитеры,PRADA,Другое,Бирюзовый,Отличное состояние,Частный продавец,0.0,10000.0,джемпер из мехерового троикотажа невесомый темный изумруд подождет на 42-44 российский отличное состояние.,missing_label
FR_38,Женское,Куртки,SANDRO,Хлопок,Серый,Новое с биркой,Частный продавец,61.0,60000.0,"новая джинсовая куртка сандро все заклепки на месте, бирка тоже, ни разу не надевалась куплена была в париже с красивой шелковой бежевой подкладкой",missing_label
EU_38,Женское,Рубашки,CHANEL,Вискоза,Розовый,Хорошее состояние,Частный продавец,0.0,50000.0,"очень приятная к телу, удобная, легкая, трикотажная рубашка. отделка из джинсы и цепочки.",missing_label
RU_44,Женское,Повседневные платья,KARL LAGERFELD,Твид,Розовый,Новое с биркой,Частный продавец,23.0,13000.0,приталенное твидовое платье-футлярт karl lagerfeld paris,missing_label
RU_36-38,Женское,Прямые джинсы,LOUIS VUITTON,missing_label,Темно-синий,Хорошее состояние,Частный продавец,0.0,19000.0,"louis vuitton джинсы в отличном состоянии! но, обратите внимание, что срезаны бирки, поскольку джинсы были подготовлены для личного пользования. пот 31, на рост 160",missing_label
IT_44,Женское,Тренчи и плащи,SPORTMAX,Кожа,Черный,Новое с биркой,Частный продавец,9.0,170000.0,"новый тренч sportmax , линия бренда max mara, полный комплект бутика кофр, бирки, ит размер 44, овер фасон",missing_label
INT_S,Женское,Юбки мини,BURBERRY,Другое,Мульти,Отличное состояние,Частный продавец,58.0,84000.0,"burberry blue label, 2004 япония та самая линия бренда , которую делали специально для японского рынка . если классический burberry - это сдержанный чай в 5, то blue label - кофе на ходу в токио. фасон на запах - всегда про движение, чуть больше воздушности и маневрености. небольшой факт для тех, кто любит детали: в 90-х burberry ещё не был «масс-маркет мечтой», а оставался маркером тихого статуса. а blue label вообще долгое время можно было купить только в японии . то есть шанс встретить такую же юбку где-то ещё… ну, вы понимаете) длина 55 сочетается с чем угодно: от рубашки до худи.",missing_label
EU_36,Женское,Прямые джинсы,LOEWE,missing_label,Белый,Новое с биркой,Частный продавец,20.0,75000.0,новые с бирками,missing_label
EU_36/40/42/44,Женское,Расклешенные джинсы,DOLCE&GABBANA,missing_label,Синий,Новое с биркой,Частный продавец,19.0,98000.0,посадка средняя ближе к заниженной,missing_label
FR_40,Женское,Костюмы с брюками,HERMES,Хлопок,Мульти,Отличное состояние,Частный продавец,19.0,109000.0,"hermes сверху хлопок, утеплен верблюжей шерстью фурнитура брендированная подбирался на размер 46-48",missing_label
FR_42,Женское,Куртки,CHANEL,Хлопок,Бежевый,Отличное состояние,Частный продавец,0.0,350000.0,"chanel limited edition коллекционная куртка расшитая бисером с золотым напылением и молниями лого в камнях . маркировка 42( на рос. 44-46, на рос. 42-44 одевалась как оверсайз). бу 1-2 выхода , в отличном состоянии . стоила космос 🚀. москва",missing_label
EU_34,Женское,Расклешенные джинсы,CHANEL,missing_label,Мульти,Новое с биркой,Частный продавец,0.0,57000.0,новые джинсовые chanel,missing_label
UK_12,Женское,Майки,ZUHAIR MURAD,Кружево,Черный,Отличное состояние,Частный продавец,75.0,40000.0,описание 📌 >состояние отличное >материал очень приятный на ощупь,missing_label
INT_M,Женское,Повседневные платья,MICHAEL KORS,Вискоза,Черный,Новое с биркой,Частный продавец,13.0,13000.0,новое платье,missing_label
EU_38,Женское,Кардиганы,MIU MIU,Другое,Мульти,Отличное состояние,Частный продавец,27.0,59000.0,"очень красивая, тепленькая, мягкая не колючая кофточка. куплена в испании. подойдет на 42-44 рус, вышла один раз, бирки с составом и уходом срезаны. москва",missing_label
EU_44,Женское,Куртки,PRADA,Другое,Черный,Отличное состояние,Частный продавец,24.0,59000.0,куртка вышла один раз. бирка с составом срезана. подойдет на ру 42-46. москва,missing_label
